Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
iPhone 15,iphone-15,"A vibrant 6.1-inch iPhone with the A16 Bionic chip, Dynamic Island, and a versatile dual-camera system.",Apple,Electronics > Communications > Telephony > Mobile Phones,Smartphone,"Apple, iPhone, Smartphone, 5G, iPhone 15",TRUE,Active,IPH15-BLACK-128G,8901000000000,Color,Black,product.metafields.shopify.color-pattern,Storage,128GB,,,,,699,754.92,503.28,TRUE,,,,,,shopify,15,DENY,171,g,TRUE,manual,,,,,FALSE,iPhone 15 | Apple Smartphone & Accessories,"A vibrant 6.1-inch iPhone with the A16 Bionic chip, Dynamic Island, and a versatile dual-camera system.",Black,Electronics > Communications > Telephony > Mobile Phones,Unisex,Adult (13+ years old),IPH15-BLACK-128G,iPhone 15,Apple Demo Catalog,New,FALSE,,,,,
,iphone-15,,,,,,,,IPH15-BLACK-256G,8901000000001,,Black,,,256GB,,,,,699,754.92,503.28,TRUE,,,,,,shopify,9,DENY,171,g,TRUE,manual,,,,,,,,,,,,IPH15-BLACK-256G,,,,,,,,,
,iphone-15,,,,,,,,IPH15-BLACK-512G,8901000000002,,Black,,,512GB,,,,,699,754.92,503.28,TRUE,,,,,,shopify,25,DENY,171,g,TRUE,manual,,,,,,,,,,,,IPH15-BLACK-512G,,,,,,,,,
,iphone-15,,,,,,,,IPH15-BLUE-128G,8901000000003,,Blue,,,128GB,,,,,699,754.92,503.28,TRUE,,,,,,shopify,23,DENY,171,g,TRUE,manual,,,,,,,,,,,,IPH15-BLUE-128G,,,,,,,,,
,iphone-15,,,,,,,,IPH15-BLUE-256G,8901000000004,,Blue,,,256GB,,,,,699,754.92,503.28,TRUE,,,,,,shopify,22,DENY,171,g,TRUE,manual,,,,,,,,,,,,IPH15-BLUE-256G,,,,,,,,,
,iphone-15,,,,,,,,IPH15-BLUE-512G,8901000000005,,Blue,,,512GB,,,,,699,754.92,503.28,TRUE,,,,,,shopify,16,DENY,171,g,TRUE,manual,,,,,,,,,,,,IPH15-BLUE-512G,,,,,,,,,
,iphone-15,,,,,,,,IPH15-GREEN-128G,8901000000006,,Green,,,128GB,,,,,699,754.92,503.28,TRUE,,,,,,shopify,14,DENY,171,g,TRUE,manual,,,,,,,,,,,,IPH15-GREEN-128G,,,,,,,,,
,iphone-15,,,,,,,,IPH15-GREEN-256G,8901000000007,,Green,,,256GB,,,,,699,754.92,503.28,TRUE,,,,,,shopify,42,DENY,171,g,TRUE,manual,,,,,,,,,,,,IPH15-GREEN-256G,,,,,,,,,
,iphone-15,,,,,,,,IPH15-GREEN-512G,8901000000008,,Green,,,512GB,,,,,699,754.92,503.28,TRUE,,,,,,shopify,13,DENY,171,g,TRUE,manual,,,,,,,,,,,,IPH15-GREEN-512G,,,,,,,,,
iPhone 15 Pro,iphone-15-pro,"Built with a titanium design and powered by the A17 Pro chip, iPhone 15 Pro delivers flagship performance in a compact form.",Apple,Electronics > Communications > Telephony > Mobile Phones,Smartphone,"Apple, iPhone, Pro, Smartphone, 5G",TRUE,Active,IPH15PRO-BLACKTITANIUM-128G,8901000000100,Color,Black Titanium,product.metafields.shopify.color-pattern,Storage,128GB,,,,,899,970.92,647.28,TRUE,,,,,,shopify,35,DENY,187,g,TRUE,manual,,,,,FALSE,iPhone 15 Pro | Apple Smartphone & Accessories,"Built with a titanium design and powered by the A17 Pro chip, iPhone 15 Pro delivers flagship performance in a compact form.",Black Titanium,Electronics > Communications > Telephony > Mobile Phones,Unisex,Adult (13+ years old),IPH15PRO-BLACKTITANIUM-128G,iPhone 15 Pro,Apple Demo Catalog,New,FALSE,,,,,
,iphone-15-pro,,,,,,,,IPH15PRO-BLACKTITANIUM-256G,8901000000101,,Black Titanium,,,256GB,,,,,899,970.92,647.28,TRUE,,,,,,shopify,10,DENY,187,g,TRUE,manual,,,,,,,,,,,,IPH15PRO-BLACKTITANIUM-256G,,,,,,,,,
,iphone-15-pro,,,,,,,,IPH15PRO-BLACKTITANIUM-512G,8901000000102,,Black Titanium,,,512GB,,,,,899,970.92,647.28,TRUE,,,,,,shopify,9,DENY,187,g,TRUE,manual,,,,,,,,,,,,IPH15PRO-BLACKTITANIUM-512G,,,,,,,,,
,iphone-15-pro,,,,,,,,IPH15PRO-BLUETITANIUM-128G,8901000000103,,Blue Titanium,,,128GB,,,,,899,970.92,647.28,TRUE,,,,,,shopify,13,DENY,187,g,TRUE,manual,,,,,,,,,,,,IPH15PRO-BLUETITANIUM-128G,,,,,,,,,
,iphone-15-pro,,,,,,,,IPH15PRO-BLUETITANIUM-256G,8901000000104,,Blue Titanium,,,256GB,,,,,899,970.92,647.28,TRUE,,,,,,shopify,21,DENY,187,g,TRUE,manual,,,,,,,,,,,,IPH15PRO-BLUETITANIUM-256G,,,,,,,,,
,iphone-15-pro,,,,,,,,IPH15PRO-BLUETITANIUM-512G,8901000000105,,Blue Titanium,,,512GB,,,,,899,970.92,647.28,TRUE,,,,,,shopify,22,DENY,187,g,TRUE,manual,,,,,,,,,,,,IPH15PRO-BLUETITANIUM-512G,,,,,,,,,
,iphone-15-pro,,,,,,,,IPH15PRO-NATURALTITANIUM-128G,8901000000106,,Natural Titanium,,,128GB,,,,,899,970.92,647.28,TRUE,,,,,,shopify,40,DENY,187,g,TRUE,manual,,,,,,,,,,,,IPH15PRO-NATURALTITANIUM-128G,,,,,,,,,
,iphone-15-pro,,,,,,,,IPH15PRO-NATURALTITANIUM-256G,8901000000107,,Natural Titanium,,,256GB,,,,,899,970.92,647.28,TRUE,,,,,,shopify,9,DENY,187,g,TRUE,manual,,,,,,,,,,,,IPH15PRO-NATURALTITANIUM-256G,,,,,,,,,
,iphone-15-pro,,,,,,,,IPH15PRO-NATURALTITANIUM-512G,8901000000108,,Natural Titanium,,,512GB,,,,,899,970.92,647.28,TRUE,,,,,,shopify,20,DENY,187,g,TRUE,manual,,,,,,,,,,,,IPH15PRO-NATURALTITANIUM-512G,,,,,,,,,
iPhone 15 Pro Max,iphone-15-pro-max,"The ultimate iPhone 15 experience with a 6.7-inch display, A17 Pro chip, and advanced 5x Telephoto camera.",Apple,Electronics > Communications > Telephony > Mobile Phones,Smartphone,"Apple, iPhone, Pro Max, Smartphone, 5G",TRUE,Active,IPH15PROMAX-BLACKTITANIUM-256G,8901000000200,Color,Black Titanium,product.metafields.shopify.color-pattern,Storage,256GB,,,,,999,1078.92,719.28,TRUE,,,,,,shopify,42,DENY,221,g,TRUE,manual,,,,,FALSE,iPhone 15 Pro Max | Apple Smartphone & Accessories,"The ultimate iPhone 15 experience with a 6.7-inch display, A17 Pro chip, and advanced 5x Telephoto camera.",Black Titanium,Electronics > Communications > Telephony > Mobile Phones,Unisex,Adult (13+ years old),IPH15PROMAX-BLACKTITANIUM-256G,iPhone 15 Pro Max,Apple Demo Catalog,New,FALSE,,,,,
,iphone-15-pro-max,,,,,,,,IPH15PROMAX-BLACKTITANIUM-512G,8901000000201,,Black Titanium,,,512GB,,,,,999,1078.92,719.28,TRUE,,,,,,shopify,34,DENY,221,g,TRUE,manual,,,,,,,,,,,,IPH15PROMAX-BLACKTITANIUM-512G,,,,,,,,,
,iphone-15-pro-max,,,,,,,,IPH15PROMAX-BLACKTITANIUM-1TB,8901000000202,,Black Titanium,,,1TB,,,,,999,1078.92,719.28,TRUE,,,,,,shopify,22,DENY,221,g,TRUE,manual,,,,,,,,,,,,IPH15PROMAX-BLACKTITANIUM-1TB,,,,,,,,,
